"id","id","category_id","attribute_key","attribute_value","language","created_at","updated_at","created_by","updated_by"
75,753,75,seo_url, ,bahasa_indonesia,"2021-06-22 11:14:59","2021-06-22 11:14:59",CC Token,CC Token
75,758,75,seo_url, ,english,"2021-06-23 11:32:56","2021-06-23 11:32:56",CC Token,CC Token
81,797,81,meta_description,"Temukan berbagai macam jenis obat dan vitamin berdasarkan Kategori Alat Monitoring Penyakit Jantung. Ketahui juga manfaat, dosis, cara konsumsi, aturan pakai dan efek samping obat dan vitamin di Halodoc.",bahasa_indonesia,"2021-08-27 16:24:12","2021-08-27 16:24:12",CC Token,CC Token
81,794,81,meta_keywords,Kategori Alat Monitoring Penyakit Jantung,bahasa_indonesia,"2021-08-27 16:24:12","2021-08-27 16:24:12",CC Token,CC Token
81,798,81,meta_title,Daftar Informasi obat dan vitamin - Halodoc - Kategori Alat Jantung,bahasa_indonesia,"2021-08-27 16:24:12","2021-08-27 16:24:12",CC Token,CC Token
81,796,81,name,Alat Monitoring Penyakit Jantung,bahasa_indonesia,"2021-08-27 16:24:12","2021-08-27 16:24:12",CC Token,CC Token
81,795,81,name,Heart Diseases Monitoring Device,english,"2021-08-27 16:24:12","2021-08-27 16:24:12",CC Token,CC Token
81,799,81,seo_url, ,bahasa_indonesia,"2021-08-27 16:24:12","2021-08-27 16:24:12",CC Token,CC Token
81,819,81,seo_url, ,english,"2021-08-27 16:51:41","2021-08-27 16:51:41",CC Token,CC Token
12,148,12,meta_description,Dapatkan informasi obat alergi paling lengkap hanya di Halodoc. Konsultasi obat dengan dokter ✓ Order obat di Halodoc ✓ #TenangAdaHalodoc,bahasa_indonesia,"2019-03-01 17:06:50","2022-03-14 12:29:40",Dev,CC Token
12,145,12,meta_description, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
12,144,12,meta_keywords,Obat alergi,bahasa_indonesia,"2019-03-01 17:06:50","2022-03-14 12:29:40",Dev,CC Token
12,147,12,meta_keywords, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
12,146,12,meta_title,"Informasi Obat Alergi, Dosis, Efek Samping - Halodoc",bahasa_indonesia,"2019-03-01 17:06:50","2022-03-14 12:29:40",Dev,CC Token
12,143,12,meta_title, ,english,"2019-03-01 17:06:50","2019-03-01 17:06:50",Dev,Dev
12,41,12,name,Alergi,bahasa_indonesia,"2017-10-31 20:52:57","2017-10-31 20:52:57",Dev,Dev
12,12,12,name,Allergy,english,"2017-10-31 20:52:55","2018-06-06 13:18:29",Dev,Control Center
12,354,12,seo_url,https://halodoc-sumba.s3-ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Alergi.html,bahasa_indonesia,"2019-03-14 17:15:46","2019-03-19 13:08:11",Dev,Control Center
12,316,12,seo_url,https://halodoc-sumba.s3.ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Alergi.html,english,"2019-03-08 17:21:20","2020-03-20 07:56:57",Dev,Control Center
688,4403,688,blibli_category_ids,AN-1000037,bahasa_indonesia,"2023-09-29 13:52:13","2023-09-29 13:52:13",Dev,Dev
688,3972,688,meta_description,Temukan Produk Kesehatan & Kecantikan > Perawatan Tubuh > Perawatan Kaki > Anti-Fungal Food Cream paling lengkap hanya di Halodoc. Konsultasi obat dengan dokter ? Order obat di Halodoc ? #TenangMenjaga,bahasa_indonesia,"2023-09-05 09:57:37","2023-09-05 09:57:37",Dev,Dev
688,3973,688,meta_keywords,Produk Kesehatan & Kecantikan > Perawatan Tubuh > Perawatan Kaki > Anti-Fungal Food Cream Obat Perawatan Halodoc,bahasa_indonesia,"2023-09-05 09:57:37","2023-09-05 09:57:37",Dev,Dev
688,3974,688,name,Kesehatan & Kecantikan > Perawatan Tubuh > Perawatan Kaki > Anti-Fungal Food Cream,bahasa_indonesia,"2023-09-05 09:57:37","2023-09-05 09:57:37",Dev,Dev
688,3975,688,name,Kesehatan & Kecantikan > Perawatan Tubuh > Perawatan Kaki > Anti-Fungal Food Cream,english,"2023-09-05 09:57:37","2023-09-05 09:57:37",Dev,Dev
727,4375,727,blibli_category_ids,AN-1000051,bahasa_indonesia,"2023-09-29 13:52:11","2023-09-29 13:52:11",Dev,Dev
727,4129,727,meta_description,Temukan Produk Bliblimart > Perawatan Kulit Tubuh > Perawatan Kulit Badan > Body Care > Anti Nyamuk & Serangga paling lengkap hanya di Halodoc. Konsultasi obat dengan dokter ? Order obat di Halodoc ? #TenangMenjaga,bahasa_indonesia,"2023-09-05 09:57:39","2023-09-05 09:57:39",Dev,Dev
727,4130,727,meta_keywords,Produk Bliblimart > Perawatan Kulit Tubuh > Perawatan Kulit Badan > Body Care > Anti Nyamuk & Serangga Obat Perawatan Halodoc,bahasa_indonesia,"2023-09-05 09:57:39","2023-09-05 09:57:39",Dev,Dev
727,4131,727,name,Bliblimart > Perawatan Kulit Tubuh > Perawatan Kulit Badan > Body Care > Anti Nyamuk & Serangga,bahasa_indonesia,"2023-09-05 09:57:39","2023-09-05 09:57:39",Dev,Dev
727,4128,727,name,Bliblimart > Perawatan Kulit Tubuh > Perawatan Kulit Badan > Body Care > Anti Nyamuk & Serangga,english,"2023-09-05 09:57:39","2023-09-05 09:57:39",Dev,Dev
34,280,34,meta_description,"Temukan berbagai macam jenis obat dan vitamin berdasarkan Kategori Anti Inflamasi. Ketahui juga manfaat, dosis, cara konsumsi, aturan pakai dan efek samping obat dan vitamin di Halodoc.",bahasa_indonesia,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
34,277,34,meta_description, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
34,276,34,meta_keywords,Kategori Anti Inflamasi,bahasa_indonesia,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
34,279,34,meta_keywords, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
34,278,34,meta_title,Daftar Informasi obat dan vitamin - Halodoc - Kategori Anti Inflamasi,bahasa_indonesia,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
34,275,34,meta_title, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
34,67,34,name,Anti Inflamasi,bahasa_indonesia,"2018-11-16 16:42:35","2018-11-16 16:42:35",Control Center,Control Center
34,68,34,name,Anti Inflammatory,english,"2018-11-16 16:42:35","2018-11-16 16:42:35",Control Center,Control Center
34,376,34,seo_url,https://halodoc-sumba.s3-ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Anti%20Inflamasi.html,bahasa_indonesia,"2019-03-14 17:15:47","2019-03-19 16:33:10",Dev,Control Center
34,338,34,seo_url,https://halodoc-sumba.s3.ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Anti%20Inflamasi.html,english,"2019-03-08 17:21:20","2020-03-20 07:58:12",Dev,Control Center
9,4791,9,blibli_category_ids,"",bahasa_indonesia,"2024-02-12 13:37:34","2024-02-12 13:37:34",CC Token,CC Token
9,130,9,meta_description,"Temukan berbagai macam jenis obat dan vitamin berdasarkan Kategori Anti Nyeri. Ketahui juga manfaat, dosis, cara konsumsi, aturan pakai dan efek samping obat dan vitamin di Halodoc.",bahasa_indonesia,"2019-03-01 17:06:49","2019-03-01 17:06:49",Dev,Dev
9,127,9,meta_description,"",english,"2019-03-01 17:06:49","2024-02-12 13:37:34",Dev,CC Token
9,126,9,meta_keywords,Kategori Anti Nyeri,bahasa_indonesia,"2019-03-01 17:06:49","2019-03-01 17:06:49",Dev,Dev
9,129,9,meta_keywords,"",english,"2019-03-01 17:06:49","2024-02-12 13:37:34",Dev,CC Token
9,128,9,meta_title,Daftar Informasi obat dan vitamin - Halodoc - Kategori Anti Nyeri,bahasa_indonesia,"2019-03-01 17:06:49","2019-03-01 17:06:49",Dev,Dev
9,125,9,meta_title,"",english,"2019-03-01 17:06:49","2024-02-12 13:37:34",Dev,CC Token
9,38,9,name,Anti Nyeri,bahasa_indonesia,"2017-10-31 20:52:57","2017-10-31 20:52:57",Dev,Dev
9,9,9,name,Pain Killer,english,"2017-10-31 20:52:55","2018-06-06 13:21:10",Dev,Control Center
9,351,9,seo_url,https://halodoc-sumba.s3-ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Anti%20Nyeri.html,bahasa_indonesia,"2019-03-14 17:15:46","2019-03-19 13:11:49",Dev,Control Center
9,313,9,seo_url,https://halodoc-sumba.s3.ap-southeast-1.amazonaws.com/product-category-seo-information/product_category_seo_information_Anti%20Nyeri.html,english,"2019-03-08 17:21:20","2020-03-20 07:53:28",Dev,Control Center
9,4790,9,tokopedia_category_ids,"",bahasa_indonesia,"2024-02-12 13:37:34","2024-02-12 13:37:34",CC Token,CC Token
33,274,33,meta_description,Dapatkan informasi obat anti virus paling lengkap hanya di Halodoc. Konsultasi obat dengan dokter ✓ Order obat di Halodoc ✓ #TenangAdaHalodoc,bahasa_indonesia,"2019-03-01 17:06:51","2022-03-14 12:29:01",Dev,CC Token
33,271,33,meta_description, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
33,270,33,meta_keywords,Anti Virus,bahasa_indonesia,"2019-03-01 17:06:51","2022-03-14 12:29:01",Dev,CC Token
33,273,33,meta_keywords, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
33,272,33,meta_title,"Informasi Obat Anti Virus, Dosis, Efek Samping - Halodoc",bahasa_indonesia,"2019-03-01 17:06:51","2022-03-14 12:29:01",Dev,CC Token
33,269,33,meta_title, ,english,"2019-03-01 17:06:51","2019-03-01 17:06:51",Dev,Dev
33,66,33,name,Anti Virus,bahasa_indonesia,"2018-11-16 16:38:36","2018-11-16 16:38:36",Control Center,Control Center
