"id","lab_site_id","line_item_id","gender","max_age","unit","ref_value_type","ref_value","ref_value_description","test_comment","deleted","created_at","updated_at","created_by","updated_by","ingestion_id"
52,14,306,male,999,mg/dL,range,"0.67,1.17","0.67 - 1.17","",0,"2024-09-21 17:02:03","2024-09-21 17:02:03",Dev Token,Dev Token,265159
53,14,306,female,999,mg/dL,range,"0.51,0.95","0.51 - 0.95","",0,"2024-09-21 17:02:04","2024-09-21 17:02:04",Dev Token,Dev Token,265159
54,14,147,all,999,mg/dL,range,"0,100",< 100,"70 - 99     : Normal
100 - 125: Prediabetes
>=126      : Diabetes",0,"2024-09-21 17:02:05","2024-09-21 17:02:05",Dev Token,Dev Token,265159
55,14,577,all,999,mg/dL,range,"0,140",< 140,"Normal        : 70 - 139
Prediabetes: 140 - 199
Diabetes      : >= 200",0,"2024-09-21 17:02:06","2024-09-21 17:02:06",Dev Token,Dev Token,265159
56,14,79,all,999,%,range,"0,5.7",< 5.7,"<5.7        : Normal
5.7 - 6.4 : Prediabetes
>=6.5      : Diabetes",0,"2024-09-21 17:02:07","2024-09-21 17:02:07",Dev Token,Dev Token,265159
57,19,1,male,999,g/dL,range,"13.2,17.3","13.2 - 17.3","",0,"2024-09-24 10:50:45","2024-12-12 11:36:22",Dev Token,Dev Token,289274
58,19,1,female,999,g/dL,range,"11.7,15.5","11.7- 15.5","",0,"2024-09-24 10:50:46","2024-12-12 11:36:24",Dev Token,Dev Token,289274
59,19,2,male,999,%,range,"40.0,52.0","40.0 - 52.0","",0,"2024-09-24 10:50:47","2024-12-12 11:36:25",Dev Token,Dev Token,289274
60,19,2,female,999,%,range,"35.0,47.0","35.0 - 47.0","",0,"2024-09-24 10:50:48","2024-12-12 11:36:27",Dev Token,Dev Token,289274
61,19,102,male,999,"10⁶/uL",range,"4.40,5.90","4.40 - 5.90","",0,"2024-09-24 10:50:49","2024-12-12 11:36:28",Dev Token,Dev Token,289274
62,19,102,female,999,"10⁶/uL",range,"3.80,5.20","3.80 - 5.20","",0,"2024-09-24 10:50:50","2024-12-12 11:36:30",Dev Token,Dev Token,289274
63,19,119,all,999,"10³/μL",range,"150,440","150 - 440","",0,"2024-09-24 10:50:51","2024-12-12 11:37:06",Dev Token,Dev Token,289274
64,19,107,male,999,"10³/μL",range,"3.8,10.6","3.8 - 10.6","",0,"2024-09-24 10:50:52","2024-12-12 11:36:41",Dev Token,Dev Token,289274
65,19,107,female,999,"10³/μL",range,"3.6,11.0","3.6 - 11.0","",0,"2024-09-24 10:50:53","2024-12-12 11:36:42",Dev Token,Dev Token,289274
66,19,156,male,999,U/L,range,"0,39",< 40,"",0,"2024-09-24 10:50:55","2024-12-11 12:26:12",Dev Token,Dev Token,288917
67,19,156,female,999,U/L,range,"0,31",< 32,"",0,"2024-09-24 10:50:56","2024-12-11 12:26:13",Dev Token,Dev Token,288917
68,19,157,male,999,U/L,range,"0,40",< 41,"",0,"2024-09-24 10:50:57","2024-12-11 12:26:14",Dev Token,Dev Token,288917
69,19,157,female,999,U/L,range,"0,32",< 33,"",0,"2024-09-24 10:50:58","2024-12-11 12:26:16",Dev Token,Dev Token,288917
70,19,163,male,999,mg/dL,range,"0,149",< 150,"",0,"2024-09-24 10:50:59","2024-12-11 12:26:17",Dev Token,Dev Token,288917
71,19,163,female,999,mg/dL,range,"0,159",< 160,"",0,"2024-09-24 10:51:00","2024-12-11 12:26:19",Dev Token,Dev Token,288917
72,19,153,all,999,mg/dL,range,"0,200",< 200,"<200         : Desirable
200 - 239 : Borderline High
>=240       : High",0,"2024-09-24 10:51:01","2024-12-12 11:37:48",Dev Token,Dev Token,289274
73,19,151,all,999,mg/dL,range,"60,999",>=40,"<40   : Low (at risk)
>=60 : Desirable",0,"2024-09-24 10:51:02","2024-12-12 11:37:49",Dev Token,Dev Token,289274
74,19,152,all,999,mg/dL,range,"0,100",< 100,"<100         : Optimal
100 - 129 : Near Optimal
130 - 159 : Borderline High
160 - 189 : High
>=190       : Very High",0,"2024-09-24 10:51:03","2024-12-12 11:37:51",Dev Token,Dev Token,289274
75,19,161,male,999,mg/dL,range,"3.4,7.0","3.4 - 7.0","",0,"2024-09-24 10:51:04","2024-12-11 12:26:24",Dev Token,Dev Token,288917
76,19,161,female,999,mg/dL,range,"2.4,5.7","2.4 - 5.7","",0,"2024-09-24 10:51:05","2024-12-11 12:26:26",Dev Token,Dev Token,288917
77,19,164,all,999,mg/dL,range,"12.6,42.6","12.6 - 42.6","",0,"2024-09-24 10:51:06","2024-12-11 12:26:27",Dev Token,Dev Token,288917
78,19,306,male,999,mg/dL,range,"0.67,1.17","0.67 - 1.17","",0,"2024-09-24 10:51:07","2024-12-11 12:26:30",Dev Token,Dev Token,288917
79,19,306,female,999,mg/dL,range,"0.45,0.75","0.45 - 0.75","",0,"2024-09-24 10:51:08","2024-12-11 12:26:31",Dev Token,Dev Token,288917
