"id","demand_zone_id","attribute_key","attribute_value","display","created_at","created_by","updated_at","updated_by"
162,16,timezone,Asia/Jakarta,1,"2024-07-05 16:09:58",wiwin.dwiutami.hakim,"2024-07-05 16:09:58",wiwin.dwiutami.hakim
163,16,timezone,Asia/Jakarta,1,"2024-07-05 16:09:59",wiwin.dwiutami.hakim,"2024-07-05 16:09:59",wiwin.dwiutami.hakim
164,21,time_span_allowed_for_cancellation,"24",,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
165,21,time_span_allowed_for_reschedule,"24",,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
166,21,transportation_fee_condition,false,,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
167,21,time_span_allowed_for_cancellation_unit,HOURS,,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
168,21,transportation_fee,"0",,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
169,21,time_span_allowed_for_reschedule_unit,HOURS,,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
170,21,min_cart_price,"0",,"2024-07-07 09:58:43",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
171,21,timezone,Asia/Jakarta,1,"2024-07-07 09:58:44",wiwin.dwiutami.hakim,"2024-07-07 09:58:44",wiwin.dwiutami.hakim
172,22,time_span_allowed_for_cancellation,"24",,"2024-07-07 10:01:49",wiwin.dwiutami.hakim,"2024-07-07 12:05:50",wiwin.dwiutami.hakim
173,22,time_span_allowed_for_reschedule,"24",,"2024-07-07 10:01:49",wiwin.dwiutami.hakim,"2024-07-07 12:05:50",wiwin.dwiutami.hakim
174,22,transportation_fee_condition,false,,"2024-07-07 10:01:49",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
175,22,time_span_allowed_for_cancellation_unit,HOURS,,"2024-07-07 10:01:49",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
176,22,transportation_fee,"0",,"2024-07-07 10:01:50",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
177,22,time_span_allowed_for_reschedule_unit,HOURS,,"2024-07-07 10:01:50",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
178,22,min_cart_price,"0",,"2024-07-07 10:01:50",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
179,22,timezone,Asia/Jakarta,1,"2024-07-07 10:01:50",wiwin.dwiutami.hakim,"2024-07-07 10:01:50",wiwin.dwiutami.hakim
180,14,timezone,Asia/Jakarta,1,"2024-08-30 18:28:02",wiwin.dwiutami.hakim,"2024-08-30 18:28:02",wiwin.dwiutami.hakim
181,14,timezone,Asia/Jakarta,1,"2024-08-30 18:28:02",wiwin.dwiutami.hakim,"2024-08-30 18:28:02",wiwin.dwiutami.hakim
182,18,timezone,Asia/Jakarta,1,"2024-10-07 09:09:29",jocelyn.tandrian,"2024-10-07 09:09:29",jocelyn.tandrian
183,18,timezone,Asia/Jakarta,1,"2024-10-07 09:09:29",jocelyn.tandrian,"2024-10-07 09:09:29",jocelyn.tandrian
184,23,time_span_allowed_for_cancellation,"24",,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
185,23,time_span_allowed_for_reschedule,"24",,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
186,23,transportation_fee_condition,false,,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
187,23,time_span_allowed_for_cancellation_unit,HOURS,,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
188,23,transportation_fee,"0",,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
189,23,time_span_allowed_for_reschedule_unit,HOURS,,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
190,23,min_cart_price,"0",,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
191,23,timezone,Asia/Jakarta,1,"2024-11-29 09:06:22",wiwin.dwiutami.hakim,"2024-11-29 09:06:22",wiwin.dwiutami.hakim
192,24,time_span_allowed_for_cancellation,"24",,"2024-12-18 12:54:32",wiwin.dwiutami.hakim,"2024-12-18 12:54:32",wiwin.dwiutami.hakim
193,24,time_span_allowed_for_reschedule,"24",,"2024-12-18 12:54:32",wiwin.dwiutami.hakim,"2024-12-18 12:54:32",wiwin.dwiutami.hakim
194,24,transportation_fee_condition,false,,"2024-12-18 12:54:32",wiwin.dwiutami.hakim,"2024-12-18 12:54:32",wiwin.dwiutami.hakim
195,24,time_span_allowed_for_cancellation_unit,HOURS,,"2024-12-18 12:54:32",wiwin.dwiutami.hakim,"2024-12-18 12:54:32",wiwin.dwiutami.hakim
196,24,transportation_fee,"0",,"2024-12-18 12:54:32",wiwin.dwiutami.hakim,"2024-12-18 12:54:32",wiwin.dwiutami.hakim
197,24,time_span_allowed_for_reschedule_unit,HOURS,,"2024-12-18 12:54:32",wiwin.dwiutami.hakim,"2024-12-18 12:54:32",wiwin.dwiutami.hakim
198,24,min_cart_price,"0",,"2024-12-18 12:54:32",wiwin.dwiutami.hakim,"2024-12-18 12:54:32",wiwin.dwiutami.hakim
199,24,timezone,Asia/Jakarta,1,"2024-12-18 12:54:32",wiwin.dwiutami.hakim,"2024-12-18 12:54:32",wiwin.dwiutami.hakim
200,25,time_span_allowed_for_cancellation,"24",,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
201,25,time_span_allowed_for_reschedule,"24",,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
202,25,transportation_fee_condition,false,,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
203,25,time_span_allowed_for_cancellation_unit,HOURS,,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
204,25,transportation_fee,"0",,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
205,25,time_span_allowed_for_reschedule_unit,HOURS,,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
206,25,min_cart_price,"0",,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2024-12-20 18:40:54",wiwin.dwiutami.hakim
207,25,timezone,Asia/Makassar,1,"2024-12-20 18:40:54",wiwin.dwiutami.hakim,"2025-04-28 17:29:54",wiwin.dwiutami.hakim
208,26,time_span_allowed_for_cancellation,"24",,"2025-01-09 09:44:10",wiwin.dwiutami.hakim,"2025-01-09 09:44:10",wiwin.dwiutami.hakim
209,26,time_span_allowed_for_reschedule,"24",,"2025-01-09 09:44:10",wiwin.dwiutami.hakim,"2025-01-09 09:44:10",wiwin.dwiutami.hakim
210,26,transportation_fee_condition,false,,"2025-01-09 09:44:10",wiwin.dwiutami.hakim,"2025-01-09 09:44:10",wiwin.dwiutami.hakim
211,26,time_span_allowed_for_cancellation_unit,HOURS,,"2025-01-09 09:44:10",wiwin.dwiutami.hakim,"2025-01-09 09:44:10",wiwin.dwiutami.hakim
212,26,transportation_fee,"0",,"2025-01-09 09:44:10",wiwin.dwiutami.hakim,"2025-01-09 09:44:10",wiwin.dwiutami.hakim
213,26,time_span_allowed_for_reschedule_unit,HOURS,,"2025-01-09 09:44:10",wiwin.dwiutami.hakim,"2025-01-09 09:44:10",wiwin.dwiutami.hakim
214,26,min_cart_price,"0",,"2025-01-09 09:44:10",wiwin.dwiutami.hakim,"2025-01-09 09:44:10",wiwin.dwiutami.hakim
215,26,timezone,Asia/Jakarta,1,"2025-01-09 09:44:10",wiwin.dwiutami.hakim,"2025-01-09 09:44:10",wiwin.dwiutami.hakim
216,27,time_span_allowed_for_cancellation,"24",,"2025-01-09 09:47:59",wiwin.dwiutami.hakim,"2025-01-09 09:48:00",wiwin.dwiutami.hakim
217,27,time_span_allowed_for_reschedule,"24",,"2025-01-09 09:47:59",wiwin.dwiutami.hakim,"2025-01-09 09:48:00",wiwin.dwiutami.hakim
218,27,transportation_fee_condition,false,,"2025-01-09 09:47:59",wiwin.dwiutami.hakim,"2025-01-09 09:48:00",wiwin.dwiutami.hakim
219,27,time_span_allowed_for_cancellation_unit,HOURS,,"2025-01-09 09:47:59",wiwin.dwiutami.hakim,"2025-01-09 09:48:00",wiwin.dwiutami.hakim
220,27,transportation_fee,"0",,"2025-01-09 09:47:59",wiwin.dwiutami.hakim,"2025-01-09 09:48:00",wiwin.dwiutami.hakim
221,27,time_span_allowed_for_reschedule_unit,HOURS,,"2025-01-09 09:47:59",wiwin.dwiutami.hakim,"2025-01-09 09:48:00",wiwin.dwiutami.hakim
222,27,min_cart_price,"0",,"2025-01-09 09:47:59",wiwin.dwiutami.hakim,"2025-01-09 09:48:00",wiwin.dwiutami.hakim
