"id","demand_zone_id","zone_id","status","name","created_at","updated_at","created_by","updated_by"
133,4,72,inactive,Karawang,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
134,4,73,inactive,Bekasi Kabupaten North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
135,4,74,inactive,Cirebon - Kuningan,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
137,4,76,inactive,Ponorogo West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
138,4,77,inactive,Ponorogo East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
139,4,78,inactive,Tegal,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
140,4,79,inactive,Pekalongan,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
141,4,80,inactive,Gresik,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
142,4,81,inactive,Batam,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
143,4,82,inactive,Cilegon,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
144,4,83,inactive,Serang East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
145,4,84,inactive,Serang West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
146,4,85,inactive,Banyuwangi,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
147,4,86,inactive,Pasuruan,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
148,4,87,inactive,Probolinggo East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
149,4,88,inactive,Probolinggo West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
150,4,89,inactive,Lawang,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
151,4,90,inactive,Jember Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
152,4,91,inactive,Lamongan Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
153,4,92,inactive,Kediri,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
154,4,93,inactive,Madiun,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
155,4,94,inactive,Binjai,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
156,4,95,inactive,Samarinda,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
157,4,96,inactive,Banjarmasin,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
158,4,97,inactive,Banjar Baru,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
159,4,98,inactive,Gresik South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
160,4,100,inactive,Gresik North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
161,4,101,inactive,Mojokerto North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
162,4,102,inactive,Mojokerto South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
163,4,103,inactive,Deli Serdang East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
164,4,104,inactive,Deli Serdang Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
165,4,105,inactive,Deli Serdang West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
166,4,107,inactive,Malang Kabupaten West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
167,4,108,inactive,Malang Kabupaten East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
168,4,109,inactive,Tabanan South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
169,4,110,inactive,Badung Central,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
170,4,111,inactive,Gianyar South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
171,4,112,inactive,Pekanbaru North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
172,4,113,inactive,Kampar North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
173,4,115,inactive,Kampar East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
174,4,116,inactive,Bandung Kabupaten South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
175,4,117,inactive,Sukoharjo North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
176,4,118,inactive,Karanganyar West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
177,4,119,inactive,Cirebon Kabupaten South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
178,4,120,inactive,Cirebon Kabupaten North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
179,4,121,inactive,Jambi,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
180,4,123,inactive,Bekasi Kabupaten South,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
181,4,124,inactive,Metro,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
182,4,125,inactive,Tegal Kabupaten North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
183,4,126,inactive,Brebes North,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
184,4,127,inactive,Palu,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
185,4,128,inactive,Sleman East,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
186,4,129,inactive,Sleman West,"2024-07-05 09:44:08","2024-07-05 14:22:37",wiwin.dwiutami.hakim,wiwin.dwiutami.hakim
